keywords,url,title,description
mission,http://www.elfaonline.org/About/,ELFA - ABOUT,"ELFA exists to provide member companies a forum for industry development; a platform to promote and to advocate for the industry; and a resource that  maintains and develops information about,and for,the industry.                                                                               "
annual report,http://www.elfaonline.org/About/,,A snapshot look at the state of ELFA.
strategic plan,http://www.elfaonline.org/About/?fa=sp,ELFA - 2015-2017 STRATEGIC PLAN,The ELFA Strategic Plan guides the association's activities and priorities 
history,http://www.elfaonline.org/About/History/,ELFA - HISTORY,Learn about the history of ELFA and the equipment finance industry.
"industry size,size of industry,economic impact,industry overview",http://www.elfaonline.org/About/?fa=overview,ELFA - INDUSTRY OVERVIEW,"Equipment finance not only contributes to businesses? success,but to U.S. economic growth,manufacturing and jobs."
bylaws,http://www.elfaonline.org/about/gov/?fa=bylaws,ELFA - BYLAWS,The Bylaws are the governing documents of the association.
"principles of fair business practice,principles of fair business practices,",https://www.elfaonline.org/About/?fa=pfbp,ELFA - PRINCIPLES OF FAIR BUSINESS PRACTICES,Principles that guide the members of the ELFA as leaders in the equipment leasing and finance market place.
"code of fair business practice,code of fair business practices",https://www.elfaonline.org/about/?fa=cfbp,ELFA - CODE OF FAIR BUSINESS PRACTICES,"The Code identifies basic policy and standards of professional and ethical conduct in lessor relationships with customers,with other lessors and with channel partners. "
"award,awards",https://www.elfaonline.org/About/Awards/,ELFA - AWARDS,ELFA recognizes the contributions of industry members through a number of awards.
"equipment finance hall of fame,hall of fame",https://www.elfaonline.org/about/hof/,ELFA | Equipment Finance Hall of Fame,"Recognizes individuals who have made unique,significant,or lasting contributions to the equipment finance industry throughout his or her career. "
"michael j. fleming distinguished service award,distinguished service award,",https://www.elfaonline.org/About/Awards/DSA/,ELFA - AWARDS,This award pays tribute to significant contributions to ELFA and the equipment finance industry.
operations & technology excellence award,https://www.elfaonline.org/About/Awards/OTE/,ELFA - OPERATIONS AND TECHNOLOGY AWARD,This award recognizes innovative uses of technology in the equipment finance industry.
"david h. fenig distinguished service in advocacy award,fenig award,advocacy award",https://www.elfaonline.org/About/Awards/?fa=DSAA,ELFA - DAVID H. FENIG DISTINGUISHED SERVICE IN ADVOCACY AWARD,This award recognizes extraordinary contributions to ELFA's federal and state advocacy programs.
"edward a. groobert excellence in leasing award,groobert award,legal award",https://www.elfaonline.org/About/Awards/?fa=ELA,ELFA - EDWARD A. GROOBERT EXCELLENCE IN LEASING AWARD,This award honors extraordinary contributions to initiatives sponsored by ELFA and its Legal Committee.
"staff bios,ralph petta,julie benson,andy fishburn,richard shanahan,kelli nienaber,amy vogt,paul stilp,bill choi,lisa ramirez,",https://www.elfaonline.org/about/?fa=execstaff,ELFA - EXECUTIVE STAFF,Bios of ELFA's executive staff.
"advertise,advertising,integrated marketing guide,marketing guide",http://www.elfaonline.org/About/?fa=Advertise,ELFA - ADVERTISE,Reach decision makers in the equipment finance industry.
"news,press release",http://www.elfaonline.org/News/IndNews/,ELFA - INDUSTRY NEWS,Get the latest news from around the equipment leasing and finance industry.
"elfa press release,elfa press releases",http://www.elfaonline.org/News/Press/pressreleases.cfm,ELFA - PRESS,Access press releases from ELFA.
"press room,press,media,industry facts",http://www.elfaonline.org/News/Press/,ELFA - PRESS,Access the latest ELFA press releases and get added to the ELFA press list.
"press release,add my press release,add your news item,add news item,add press release,submit press release",http://www.elfaonline.org/News/Add/,ELFA - ADD,Submit your news item to the ELFA website.
"media coverage,press coverage,in the news",http://www.elfaonline.org/News/Press/?fa=MediaCoverage,ELFA - MEDIA COVERAGE,Examples of ELFA in the news.
"newsletter,newsletters,e-newsletter,e-newsletters,elfa quickbrief,quickbrief",http://www.elfaonline.org/News/?fa=Newsletters,ELFA - NEWSLETTERS,ELFA offers several email newsletters on industry topics.
"equipment leasing & finance e-newsletter,equipment leasing & finance newsletter",http://www.elfaonline.org/resources/mag/?fa=NL,ELFA - EQUIPMENT,This information-packed e-newsletter highlights the content in each issue of Equipment Leasing & Finance magazine.
"magazine,equipment leasing & finance magazine,equipment leasing & finance,elt,el&f",http://www.elfaonline.org/resources/mag/,ELFA - MAG,"Equipment Leasing & Finance magazine is ELFA's flagship publication covering of the people,trends and issues that have an impact on the equipment finance industry. "
"industry data & forecasting,industry data,data,forecasting,forecast,statistics,research,outlook,benchmarking,state of the industry",TBD,,"Market research,statistics,benchmarking and analyses offering essential insights into the current trends and future outlook for the equipment finance sector."
