startDate | keywords | status | imageUrl | expiryDate | useDates | type | url | keywordsFieldType | expiryCount | title | priority | description | keywordsUrl
<nil> | mission | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/About/ | STRING | -1 | ELFA - ABOUT | A | ELFA exists to provide member companies a forum for industry development; a platform to promote and to advocate for the industry; and a resource that  maintains and develops information about,and for,the industry.                                                                                | <nil>
<nil> | annual report | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/About/ | STRING | -1 | ELFA - ABOUT | A | A snapshot look at the state of ELFA. | <nil>
<nil> | plan strategic | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/About/?fa=sp | STRING | -1 | ELFA - 2015-2017 STRATEGIC PLAN | A | The ELFA Strategic Plan guides the association's activities and priorities | <nil>
<nil> | history | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/About/History/ | STRING | -1 | ELFA - HISTORY | A | Learn about the history of ELFA and the equipment finance industry. | <nil>
<nil> | economic impact industry overvie size | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/About/?fa=overview | STRING | -1 | ELFA - INDUSTRY OVERVIEW | A | Equipment finance not only contributes to businesses? success,but to U.S. economic growth,manufacturing and jobs. | <nil>
<nil> | bylaws | active | <nil> | <nil> | false | TEXT | http://www.elfaonline.org/about/gov/?fa=bylaws | STRING | -1 | ELFA - BYLAWS | A | The Bylaws are the governing documents of the association. | <nil>
<nil> | business fair practice practices principles | active | <nil> | <nil> | false | TEXT | https://www.elfaonline.org/About/?fa=pfbp | STRING | -1 | ELFA - PRINCIPLES OF FAIR BUSINESS PRACTICES | A | Principles that guide the members of the ELFA as leaders in the equipment leasing and finance market place. | <nil>
<nil> | business code fair practice | active | <nil> | <nil> | false | TEXT | https://www.elfaonline.org/about/?fa=cfbp | STRING | -1 | ELFA - CODE OF FAIR BUSINESS PRACTICES | A | The Code identifies basic policy and standards of professional and ethical conduct in lessor relationships with customers,with other lessors and with channel partners.  | <nil>
<nil> | award | active | <nil> | <nil> | false | TEXT | https://www.elfaonline.org/About/Awards/ | STRING | -1 | ELFA - AWARDS | A | ELFA recognizes the contributions of industry members through a number of awards. | <nil>
<nil> | equipment fam fame finance hall | active | <nil> | <nil> | false | TEXT | https://www.elfaonline.org/about/hof/ | STRING | -1 | ELFA - Equipment Finance Hall of Fame | A | Recognizes individuals who have made unique,significant,or lasting contributions to the equipment finance industry throughout his or her career.  | <nil>
